date,county,state,cases,deaths
2020/3/1,Alameda,California,1,0
2020/3/2,Alameda,California,1,0
2020/3/3,Alameda,California,2,0
2020/3/4,Alameda,California,2,0
2020/3/5,Alameda,California,2,0
2020/3/6,Alameda,California,3,0
2020/3/7,Alameda,California,3,0
2020/3/8,Alameda,California,3,0
2020/3/9,Alameda,California,24,0
2020/3/10,Alameda,California,25,0
2020/3/11,Alameda,California,25,0
2020/3/12,Alameda,California,29,0
2020/3/13,Alameda,California,29,0
2020/3/14,Alameda,California,29,0
2020/3/15,Alameda,California,37,0
2020/3/16,Alameda,California,40,0
2020/3/17,Alameda,California,49,0
2020/3/18,Alameda,California,53,0
2020/3/19,Alameda,California,57,0
2020/3/20,Alameda,California,67,0
2020/3/21,Alameda,California,87,0
2020/3/22,Alameda,California,127,0
2020/3/23,Alameda,California,139,1
2020/3/24,Alameda,California,151,2
2020/3/25,Alameda,California,156,2
2020/3/26,Alameda,California,199,4
2020/3/27,Alameda,California,241,4
2020/3/28,Alameda,California,277,6
2020/3/29,Alameda,California,291,6
2020/3/30,Alameda,California,304,7
2020/3/31,Alameda,California,334,7
2020/4/1,Alameda,California,380,8
2020/4/2,Alameda,California,417,9
2020/4/3,Alameda,California,464,12
2020/4/4,Alameda,California,464,12
2020/4/5,Alameda,California,587,12
2020/4/6,Alameda,California,609,13
2020/4/7,Alameda,California,655,15
2020/4/8,Alameda,California,695,16
2020/4/9,Alameda,California,734,17
2020/4/10,Alameda,California,766,20
2020/4/11,Alameda,California,827,21
2020/4/12,Alameda,California,864,23
2020/4/13,Alameda,California,907,23
2020/4/14,Alameda,California,908,23
2020/4/15,Alameda,California,983,36
2020/4/16,Alameda,California,1069,40
2020/4/17,Alameda,California,1084,40
2020/4/18,Alameda,California,1135,41
2020/4/19,Alameda,California,1185,42
2020/4/20,Alameda,California,1212,42
2020/4/21,Alameda,California,1260,43
2020/4/22,Alameda,California,1260,43
2020/4/23,Alameda,California,1350,48
2020/4/24,Alameda,California,1422,48
2020/4/25,Alameda,California,1458,52
2020/4/26,Alameda,California,1489,52
2020/4/27,Alameda,California,1519,56
2020/4/28,Alameda,California,1554,59
2020/4/29,Alameda,California,1589,59
2020/4/30,Alameda,California,1624,63
2020/5/1,Alameda,California,1657,63
2020/5/2,Alameda,California,1726,63
2020/5/3,Alameda,California,1770,63
2020/5/4,Alameda,California,1797,65
2020/5/5,Alameda,California,1830,66
2020/5/6,Alameda,California,1884,69
2020/5/7,Alameda,California,1938,69
2020/5/8,Alameda,California,1982,70
2020/5/9,Alameda,California,2044,72
2020/5/10,Alameda,California,2085,75
2020/5/11,Alameda,California,2122,75
2020/5/12,Alameda,California,2154,75
2020/5/13,Alameda,California,2199,80
2020/5/14,Alameda,California,2202,80
2020/5/15,Alameda,California,2321,84
2020/5/16,Alameda,California,2372,85
2020/5/17,Alameda,California,2413,85
2020/5/18,Alameda,California,2478,85
2020/5/19,Alameda,California,2543,88
