date,county,state,cases,deaths
2020/3/15,Newton,Georgia,1,0
2020/3/16,Newton,Georgia,1,0
2020/3/17,Newton,Georgia,1,0
2020/3/18,Newton,Georgia,3,0
2020/3/19,Newton,Georgia,3,0
2020/3/20,Newton,Georgia,4,0
2020/3/21,Newton,Georgia,4,0
2020/3/22,Newton,Georgia,4,0
2020/3/23,Newton,Georgia,4,0
2020/3/24,Newton,Georgia,6,0
2020/3/25,Newton,Georgia,8,0
2020/3/26,Newton,Georgia,12,0
2020/3/27,Newton,Georgia,15,0
2020/3/28,Newton,Georgia,15,0
2020/3/29,Newton,Georgia,18,0
2020/3/30,Newton,Georgia,22,0
2020/3/31,Newton,Georgia,31,0
2020/4/1,Newton,Georgia,34,0
2020/4/2,Newton,Georgia,37,0
2020/4/3,Newton,Georgia,42,1
2020/4/4,Newton,Georgia,52,1
2020/4/5,Newton,Georgia,55,2
2020/4/6,Newton,Georgia,65,2
2020/4/7,Newton,Georgia,67,3
2020/4/8,Newton,Georgia,67,3
2020/4/9,Newton,Georgia,70,3
2020/4/10,Newton,Georgia,77,3
2020/4/11,Newton,Georgia,78,3
2020/4/12,Newton,Georgia,82,3
2020/4/13,Newton,Georgia,93,3
2020/4/14,Newton,Georgia,100,3
2020/4/15,Newton,Georgia,113,3
2020/4/16,Newton,Georgia,115,3
2020/4/17,Newton,Georgia,121,3
2020/4/18,Newton,Georgia,121,3
2020/4/19,Newton,Georgia,130,3
2020/4/20,Newton,Georgia,139,3
2020/4/21,Newton,Georgia,142,4
2020/4/22,Newton,Georgia,146,5
2020/4/23,Newton,Georgia,153,5
2020/4/24,Newton,Georgia,158,6
2020/4/25,Newton,Georgia,166,6
2020/4/26,Newton,Georgia,166,6
2020/4/27,Newton,Georgia,173,7
2020/4/28,Newton,Georgia,184,7
2020/4/29,Newton,Georgia,193,7
2020/4/30,Newton,Georgia,196,7
2020/5/1,Newton,Georgia,200,7
2020/5/2,Newton,Georgia,205,7
2020/5/3,Newton,Georgia,208,7
2020/5/4,Newton,Georgia,215,8
2020/5/5,Newton,Georgia,222,8
2020/5/6,Newton,Georgia,232,8
2020/5/7,Newton,Georgia,236,8
2020/5/8,Newton,Georgia,240,8
2020/5/9,Newton,Georgia,252,8
2020/5/10,Newton,Georgia,258,8
2020/5/11,Newton,Georgia,260,8
2020/5/12,Newton,Georgia,261,8
2020/5/13,Newton,Georgia,262,8
2020/5/14,Newton,Georgia,263,8
2020/5/15,Newton,Georgia,262,9
2020/5/16,Newton,Georgia,261,10
2020/5/17,Newton,Georgia,257,10
2020/5/18,Newton,Georgia,264,10
2020/5/19,Newton,Georgia,266,10
