date,county,state,cases,deaths
2020/1/24,Cook,Illinois,1,0
2020/1/25,Cook,Illinois,1,0
2020/1/26,Cook,Illinois,1,0
2020/1/27,Cook,Illinois,1,0
2020/1/28,Cook,Illinois,1,0
2020/1/29,Cook,Illinois,1,0
2020/1/30,Cook,Illinois,2,0
2020/1/31,Cook,Illinois,2,0
2020/2/1,Cook,Illinois,2,0
2020/2/2,Cook,Illinois,2,0
2020/2/3,Cook,Illinois,2,0
2020/2/4,Cook,Illinois,2,0
2020/2/5,Cook,Illinois,2,0
2020/2/6,Cook,Illinois,2,0
2020/2/7,Cook,Illinois,2,0
2020/2/8,Cook,Illinois,2,0
2020/2/9,Cook,Illinois,2,0
2020/2/10,Cook,Illinois,2,0
2020/2/11,Cook,Illinois,2,0
2020/2/12,Cook,Illinois,2,0
2020/2/13,Cook,Illinois,2,0
2020/2/14,Cook,Illinois,2,0
2020/2/15,Cook,Illinois,2,0
2020/2/16,Cook,Illinois,2,0
2020/2/17,Cook,Illinois,2,0
2020/2/18,Cook,Illinois,2,0
2020/2/19,Cook,Illinois,2,0
2020/2/20,Cook,Illinois,2,0
2020/2/21,Cook,Illinois,2,0
2020/2/22,Cook,Illinois,2,0
2020/2/23,Cook,Illinois,2,0
2020/2/24,Cook,Illinois,2,0
2020/2/25,Cook,Illinois,2,0
2020/2/26,Cook,Illinois,2,0
2020/2/27,Cook,Illinois,2,0
2020/2/28,Cook,Illinois,2,0
2020/2/29,Cook,Illinois,3,0
2020/3/1,Cook,Illinois,3,0
2020/3/2,Cook,Illinois,4,0
2020/3/3,Cook,Illinois,4,0
2020/3/4,Cook,Illinois,4,0
2020/3/5,Cook,Illinois,5,0
2020/3/6,Cook,Illinois,6,0
2020/3/7,Cook,Illinois,6,0
2020/3/8,Cook,Illinois,7,0
2020/3/9,Cook,Illinois,11,0
2020/3/10,Cook,Illinois,17,0
2020/3/11,Cook,Illinois,22,0
2020/3/12,Cook,Illinois,27,0
2020/3/13,Cook,Illinois,40,0
2020/3/14,Cook,Illinois,51,0
2020/3/15,Cook,Illinois,76,0
2020/3/16,Cook,Illinois,76,0
2020/3/17,Cook,Illinois,107,1
2020/3/18,Cook,Illinois,179,1
2020/3/19,Cook,Illinois,279,2
2020/3/20,Cook,Illinois,412,3
2020/3/21,Cook,Illinois,548,4
2020/3/22,Cook,Illinois,805,6
2020/3/23,Cook,Illinois,922,9
2020/3/24,Cook,Illinois,1194,12
2020/3/25,Cook,Illinois,1418,13
2020/3/26,Cook,Illinois,1904,18
2020/3/27,Cook,Illinois,2239,20
2020/3/28,Cook,Illinois,2613,28
2020/3/29,Cook,Illinois,3445,40
2020/3/30,Cook,Illinois,3727,44
2020/3/31,Cook,Illinois,4496,61
2020/4/1,Cook,Illinois,5152,95
2020/4/2,Cook,Illinois,5575,107
2020/4/3,Cook,Illinois,6473,141
2020/4/4,Cook,Illinois,7439,167
2020/4/5,Cook,Illinois,8043,186
2020/4/6,Cook,Illinois,8728,209
2020/4/7,Cook,Illinois,9509,249
2020/4/8,Cook,Illinois,10520,312
2020/4/9,Cook,Illinois,11415,351
2020/4/10,Cook,Illinois,12472,398
2020/4/11,Cook,Illinois,13417,453
2020/4/12,Cook,Illinois,14585,485
2020/4/13,Cook,Illinois,15474,543
2020/4/14,Cook,Illinois,16323,577
2020/4/15,Cook,Illinois,17306,630
2020/4/16,Cook,Illinois,18087,722
2020/4/17,Cook,Illinois,19391,760
2020/4/18,Cook,Illinois,20395,860
2020/4/19,Cook,Illinois,21272,877
2020/4/20,Cook,Illinois,22101,915
2020/4/21,Cook,Illinois,23181,1002
2020/4/22,Cook,Illinois,24546,1072
2020/4/23,Cook,Illinois,25811,1142
2020/4/24,Cook,Illinois,27616,1220
2020/4/25,Cook,Illinois,29058,1267
2020/4/26,Cook,Illinois,30574,1313
2020/4/27,Cook,Illinois,31953,1347
2020/4/28,Cook,Illinois,33449,1457
2020/4/29,Cook,Illinois,34880,1516
2020/4/30,Cook,Illinois,36513,1607
2020/5/1,Cook,Illinois,38668,1673
2020/5/2,Cook,Illinois,40227,1743
2020/5/3,Cook,Illinois,42324,1786
2020/5/4,Cook,Illinois,43715,1802
2020/5/5,Cook,Illinois,45223,1922
2020/5/6,Cook,Illinois,46689,2004
2020/5/7,Cook,Illinois,48341,2110
2020/5/8,Cook,Illinois,50236,2197
2020/5/9,Cook,Illinois,51674,2264
2020/5/10,Cook,Illinois,52655,2317
2020/5/11,Cook,Illinois,53381,2361
2020/5/12,Cook,Illinois,55470,2449
2020/5/13,Cook,Illinois,56406,2589
2020/5/14,Cook,Illinois,58457,2675
2020/5/15,Cook,Illinois,59905,2762
2020/5/16,Cook,Illinois,61212,2814
2020/5/17,Cook,Illinois,62218,2839
2020/5/18,Cook,Illinois,63690,2889
2020/5/19,Cook,Illinois,64691,2980
