date,county,state,cases,deaths
2020/3/9,Union,New Jersey,1,0
2020/3/10,Union,New Jersey,1,0
2020/3/11,Union,New Jersey,1,0
2020/3/12,Union,New Jersey,1,0
2020/3/13,Union,New Jersey,1,0
2020/3/14,Union,New Jersey,1,0
2020/3/15,Union,New Jersey,4,0
2020/3/16,Union,New Jersey,8,0
2020/3/17,Union,New Jersey,22,0
2020/3/18,Union,New Jersey,26,0
2020/3/19,Union,New Jersey,29,0
2020/3/20,Union,New Jersey,43,0
2020/3/21,Union,New Jersey,81,0
2020/3/22,Union,New Jersey,124,0
2020/3/23,Union,New Jersey,189,1
2020/3/24,Union,New Jersey,246,2
2020/3/25,Union,New Jersey,262,3
2020/3/26,Union,New Jersey,432,3
2020/3/27,Union,New Jersey,519,3
2020/3/28,Union,New Jersey,742,10
2020/3/29,Union,New Jersey,896,10
2020/3/30,Union,New Jersey,1213,15
2020/3/31,Union,New Jersey,1418,24
2020/4/1,Union,New Jersey,1661,29
2020/4/2,Union,New Jersey,2010,34
2020/4/3,Union,New Jersey,2487,45
2020/4/4,Union,New Jersey,2916,66
2020/4/5,Union,New Jersey,3216,71
2020/4/6,Union,New Jersey,3685,78
2020/4/7,Union,New Jersey,4358,95
2020/4/8,Union,New Jersey,4831,125
2020/4/9,Union,New Jersey,5203,145
2020/4/10,Union,New Jersey,5575,161
2020/4/11,Union,New Jersey,5865,195
2020/4/12,Union,New Jersey,6180,209
2020/4/13,Union,New Jersey,6636,217
2020/4/14,Union,New Jersey,7265,238
2020/4/15,Union,New Jersey,7438,269
2020/4/16,Union,New Jersey,7904,301
2020/4/17,Union,New Jersey,8429,330
2020/4/18,Union,New Jersey,8959,356
2020/4/19,Union,New Jersey,9609,372
2020/4/20,Union,New Jersey,9972,387
2020/4/21,Union,New Jersey,10289,427
2020/4/22,Union,New Jersey,10484,481
2020/4/23,Union,New Jersey,10935,515
2020/4/24,Union,New Jersey,11208,542
2020/4/25,Union,New Jersey,11523,563
2020/4/26,Union,New Jersey,11853,571
2020/4/27,Union,New Jersey,12011,583
2020/4/28,Union,New Jersey,12188,627
2020/4/29,Union,New Jersey,12380,653
2020/4/30,Union,New Jersey,12578,690
2020/5/1,Union,New Jersey,12779,714
2020/5/2,Union,New Jersey,12996,731
2020/5/3,Union,New Jersey,13225,738
2020/5/4,Union,New Jersey,13357,737
2020/5/5,Union,New Jersey,13503,768
2020/5/6,Union,New Jersey,13604,800
2020/5/7,Union,New Jersey,13781,829
2020/5/8,Union,New Jersey,13917,844
2020/5/9,Union,New Jersey,13984,852
2020/5/10,Union,New Jersey,14057,867
2020/5/11,Union,New Jersey,14164,875
2020/5/12,Union,New Jersey,14203,899
2020/5/13,Union,New Jersey,14306,908
2020/5/14,Union,New Jersey,14385,930
2020/5/15,Union,New Jersey,14492,939
2020/5/16,Union,New Jersey,14569,946
2020/5/17,Union,New Jersey,14702,957
2020/5/18,Union,New Jersey,14903,962
2020/5/19,Union,New Jersey,15031,977
