date,county,state,cases,deaths
2020/3/1,New York City,New York,1,0
2020/3/2,New York City,New York,1,0
2020/3/3,New York City,New York,2,0
2020/3/4,New York City,New York,2,0
2020/3/5,New York City,New York,4,0
2020/3/6,New York City,New York,5,0
2020/3/7,New York City,New York,12,0
2020/3/8,New York City,New York,14,0
2020/3/9,New York City,New York,20,0
2020/3/10,New York City,New York,37,0
2020/3/11,New York City,New York,52,0
2020/3/12,New York City,New York,96,0
2020/3/13,New York City,New York,155,0
2020/3/14,New York City,New York,269,1
2020/3/15,New York City,New York,330,5
2020/3/16,New York City,New York,464,7
2020/3/17,New York City,New York,646,11
2020/3/18,New York City,New York,1344,25
2020/3/19,New York City,New York,2477,31
2020/3/20,New York City,New York,4419,54
2020/3/21,New York City,New York,6226,75
2020/3/22,New York City,New York,9065,119
2020/3/23,New York City,New York,12329,155
2020/3/24,New York City,New York,14943,230
2020/3/25,New York City,New York,20061,330
2020/3/26,New York City,New York,23182,435
2020/3/27,New York City,New York,25509,560
2020/3/28,New York City,New York,30919,825
2020/3/29,New York City,New York,33983,991
2020/3/30,New York City,New York,38375,1202
2020/3/31,New York City,New York,43518,1475
2020/4/1,New York City,New York,47914,1848
2020/4/2,New York City,New York,52400,2152
2020/4/3,New York City,New York,57941,2648
2020/4/4,New York City,New York,64274,3221
2020/4/5,New York City,New York,68726,3646
2020/4/6,New York City,New York,73553,4857
2020/4/7,New York City,New York,78498,5631
2020/4/8,New York City,New York,83673,6441
2020/4/9,New York City,New York,89127,7249
2020/4/10,New York City,New York,94702,7981
2020/4/11,New York City,New York,100840,8734
2020/4/12,New York City,New York,105939,9448
2020/4/13,New York City,New York,109706,10096
2020/4/14,New York City,New York,113632,10857
2020/4/15,New York City,New York,121653,11566
2020/4/16,New York City,New York,126623,12109
2020/4/17,New York City,New York,131003,12283
2020/4/18,New York City,New York,135052,12411
2020/4/19,New York City,New York,138370,13632
2020/4/20,New York City,New York,140881,14074
2020/4/21,New York City,New York,143547,14513
2020/4/22,New York City,New York,146787,14959
2020/4/23,New York City,New York,150327,15361
2020/4/24,New York City,New York,155081,15754
2020/4/25,New York City,New York,159851,16146
2020/4/26,New York City,New York,163106,16486
2020/4/27,New York City,New York,165463,16821
2020/4/28,New York City,New York,167487,17206
2020/4/29,New York City,New York,170124,17597
2020/4/30,New York City,New York,172784,17809
2020/5/1,New York City,New York,174931,17931
2020/5/2,New York City,New York,177490,18021
2020/5/3,New York City,New York,179728,18451
2020/5/4,New York City,New York,181034,18580
2020/5/5,New York City,New York,182318,18719
2020/5/6,New York City,New York,183770,18993
2020/5/7,New York City,New York,185653,19141
2020/5/8,New York City,New York,187157,19210
2020/5/9,New York City,New York,188663,19324
2020/5/10,New York City,New York,189656,19436
2020/5/11,New York City,New York,190546,19563
2020/5/12,New York City,New York,191320,19736
2020/5/13,New York City,New York,192394,19815
2020/5/14,New York City,New York,193663,19904
2020/5/15,New York City,New York,195472,19972
2020/5/16,New York City,New York,196481,20071
2020/5/17,New York City,New York,197486,20214
2020/5/18,New York City,New York,198114,20298
2020/5/19,New York City,New York,198710,20376
