date,county,state,cases,deaths
2020/3/31,Brunswick,Virginia,1,0
2020/4/1,Brunswick,Virginia,1,0
2020/4/2,Brunswick,Virginia,1,0
2020/4/3,Brunswick,Virginia,1,0
2020/4/4,Brunswick,Virginia,1,0
2020/4/5,Brunswick,Virginia,1,0
2020/4/6,Brunswick,Virginia,1,0
2020/4/7,Brunswick,Virginia,1,0
2020/4/8,Brunswick,Virginia,1,0
2020/4/9,Brunswick,Virginia,1,0
2020/4/10,Brunswick,Virginia,2,0
2020/4/11,Brunswick,Virginia,3,0
2020/4/12,Brunswick,Virginia,3,0
2020/4/13,Brunswick,Virginia,3,0
2020/4/14,Brunswick,Virginia,9,0
2020/4/15,Brunswick,Virginia,9,0
2020/4/16,Brunswick,Virginia,10,0
2020/4/17,Brunswick,Virginia,10,0
2020/4/18,Brunswick,Virginia,12,0
2020/4/19,Brunswick,Virginia,12,0
2020/4/20,Brunswick,Virginia,12,0
2020/4/21,Brunswick,Virginia,12,0
2020/4/22,Brunswick,Virginia,13,0
2020/4/23,Brunswick,Virginia,13,0
2020/4/24,Brunswick,Virginia,14,0
2020/4/25,Brunswick,Virginia,14,0
2020/4/26,Brunswick,Virginia,14,0
2020/4/27,Brunswick,Virginia,14,0
2020/4/28,Brunswick,Virginia,13,0
2020/4/29,Brunswick,Virginia,14,0
2020/4/30,Brunswick,Virginia,14,0
2020/5/1,Brunswick,Virginia,14,0
2020/5/2,Brunswick,Virginia,15,0
2020/5/3,Brunswick,Virginia,15,0
2020/5/4,Brunswick,Virginia,15,0
2020/5/5,Brunswick,Virginia,15,0
2020/5/6,Brunswick,Virginia,15,0
2020/5/7,Brunswick,Virginia,16,0
2020/5/8,Brunswick,Virginia,17,0
2020/5/9,Brunswick,Virginia,17,0
2020/5/10,Brunswick,Virginia,18,0
2020/5/11,Brunswick,Virginia,19,0
2020/5/12,Brunswick,Virginia,20,0
2020/5/13,Brunswick,Virginia,20,0
2020/5/14,Brunswick,Virginia,20,0
2020/5/15,Brunswick,Virginia,20,1
2020/5/16,Brunswick,Virginia,20,1
2020/5/17,Brunswick,Virginia,20,1
2020/5/18,Brunswick,Virginia,20,1
2020/5/19,Brunswick,Virginia,21,1
