state,county,cases,deaths
New York,New York City,198710,20376
Illinois,Cook,64691,2980
California,Los Angeles,39573,1913
New York,Nassau,39295,2541
New York,Suffolk,38327,1822
New York,Westchester,32401,1424
Pennsylvania,Philadelphia,20129,1109
Massachusetts,Middlesex,19504,1436
Michigan,Wayne,19292,2275
New Jersey,Hudson,17621,1082
New Jersey,Bergen,17522,1474
Massachusetts,Suffolk,16825,797
New Jersey,Essex,16686,1565
Florida,Miami-Dade,15941,578
New Jersey,Passaic,15371,842
New Jersey,Union,15031,977
New Jersey,Middlesex,14834,903
Connecticut,Fairfield,14522,1160
New York,Rockland,12798,445
Massachusetts,Essex,12748,797
Maryland,Prince George's,12261,445
Connecticut,New Haven,10427,838
New York,Orange,10003,352
Texas,Harris,9859,207
Massachusetts,Worcester,9582,597
Rhode Island,Providence,9112,342
Connecticut,Hartford,9050,1090
Maryland,Montgomery,8988,503
Indiana,Marion,8632,532
Michigan,Oakland,8078,928
New Jersey,Ocean,8067,643
Virginia,Fairfax,8020,292
Texas,Dallas,7904,191
Washington,King,7901,536
Massachusetts,Norfolk,7565,735
Arizona,Maricopa,7482,339
New Jersey,Monmouth,7470,520
District of Columbia,District of Columbia,7434,400
Massachusetts,Plymouth,7198,470
Louisiana,Jefferson,7095,429
Louisiana,Orleans,6869,494
Illinois,Lake,6709,221
Florida,Broward,6369,282
Michigan,Macomb,6367,753
Illinois,DuPage,6171,315
New Jersey,Morris,6100,572
California,San Diego,6089,242
Massachusetts,Bristol,6080,330
Pennsylvania,Montgomery,6063,575
California,Riverside,6053,270
New Jersey,Mercer,6018,422
Pennsylvania,Delaware,5807,491
Minnesota,Hennepin,5650,476
New Jersey,Camden,5644,279
Nevada,Clark,5536,304
Massachusetts,Hampden,5335,521
Wisconsin,Milwaukee,5185,260
New York,Erie,5037,450
Maryland,Baltimore,4936,263
Colorado,Denver,4790,285
Ohio,Franklin,4706,193
Florida,Palm Beach,4697,284
Illinois,Kane,4682,120
Texas,Tarrant,4643,130
Illinois,Will,4577,244
Pennsylvania,Bucks,4573,426
California,Orange,4558,88
Tennessee,Davidson,4390,46
Missouri,St. Louis,4374,347
New Jersey,Somerset,4312,382
Utah,Salt Lake,4019,62
Maryland,Baltimore city,4010,210
New Jersey,Burlington,4000,247
Tennessee,Shelby,3936,88
Virginia,Prince William,3934,73
Delaware,Sussex,3904,115
Colorado,Arapahoe,3827,258
Georgia,Fulton,3795,174
Pennsylvania,Berks,3735,262
New York,Dutchess,3710,131
California,San Bernardino,3707,157
Pennsylvania,Lehigh,3513,182
Ohio,Cuyahoga,3463,183
Michigan,Unknown,3242,63
South Dakota,Minnehaha,3165,40
Washington,Snohomish,3153,131
Louisiana,East Baton Rouge,3145,219
Iowa,Polk,3128,83
Maryland,Anne Arundel,2989,145
Indiana,Lake,2974,154
Michigan,Kent,2934,58
Georgia,DeKalb,2918,87
Delaware,New Castle,2845,135
Puerto Rico,Unknown,2805,124
Georgia,Gwinnett,2771,114
Pennsylvania,Northampton,2758,176
North Carolina,Mecklenburg,2717,68
Colorado,Adams,2675,104
Washington,Yakima,2598,81
Nebraska,Douglas,2597,24
Texas,Travis,2595,81
Pennsylvania,Lancaster,2593,267
Pennsylvania,Luzerne,2554,124
California,Alameda,2543,88
Ohio,Marion,2524,15
Georgia,Cobb,2503,135
California,Santa Clara,2483,138
New York,Monroe,2377,172
Iowa,Woodbury,2342,17
Colorado,Weld,2326,124
Texas,Bexar,2278,62
Pennsylvania,Chester,2242,230
Texas,Potter,2193,24
Georgia,Hall,2191,40
California,San Francisco,2186,36
Rhode Island,Unknown,2162,107
Ohio,Hamilton,2138,117
Georgia,Unknown,2136,0
Wisconsin,Brown,2118,26
Kentucky,Jefferson,2067,132
Ohio,Pickaway,2025,31
Ohio,Lucas,1999,209
New Mexico,McKinley,1987,79
New Jersey,Gloucester,1935,125
Louisiana,Caddo,1912,155
Michigan,Genesee,1891,235
Arizona,Pima,1888,158
Colorado,Jefferson,1882,130
Texas,El Paso,1852,52
New Jersey,Atlantic,1838,121
Washington,Pierce,1827,70
New Hampshire,Hillsborough,1820,91
Minnesota,Stearns,1782,10
New Jersey,Cumberland,1759,56
Alabama,Mobile,1751,103
Minnesota,Ramsey,1720,74
Missouri,St. Louis city,1705,108
California,San Mateo,1701,68
Florida,Orange,1698,37
Virginia,Arlington,1688,79
Florida,Hillsborough,1670,60
Georgia,Dougherty,1668,139
New York,Onondaga,1665,99
Pennsylvania,Allegheny,1658,145
New York,Albany,1655,130
Iowa,Black Hawk,1628,31
California,Kern,1596,26
Illinois,Winnebago,1588,44
Texas,Fort Bend,1581,40
Nebraska,Dakota,1565,16
New York,Ulster,1565,43
Indiana,Cass,1562,7
Louisiana,St. Tammany,1559,149
Virginia,Alexandria city,1544,34
California,Tulare,1539,71
Utah,Utah,1537,12
Virginia,Loudoun,1527,48
Florida,Lee,1519,89
