state,cases,deaths
Alabama,12376,504
Alaska,399,8
Arizona,14566,704
Arkansas,4923,102
California,83981,3422
Colorado,22454,1257
Connecticut,38430,3472
Delaware,8037,304
District of Columbia,7434,400
Florida,46936,2051
Georgia,37214,1650
Guam,1123,6
Hawaii,631,17
Idaho,2476,77
Illinois,98298,4399
Indiana,29402,1824
Iowa,15296,367
Kansas,8488,193
Kentucky,8205,369
Louisiana,35161,2581
Maine,1741,73
Maryland,41664,2081
Massachusetts,87925,5938
Michigan,52337,5017
Minnesota,17038,757
Mississippi,11704,554
Missouri,11369,633
Montana,471,16
Nebraska,10846,136
Nevada,7170,373
New Hampshire,3721,182
New Jersey,149037,10586
New Mexico,6192,276
New York,357757,28437
North Carolina,19762,711
North Dakota,1994,45
Northern Mariana Islands,21,2
Ohio,28953,1720
Oklahoma,5489,294
Oregon,3726,140
Pennsylvania,67404,4675
Puerto Rico,2805,124
Rhode Island,12951,532
South Carolina,9056,399
South Dakota,4085,46
Tennessee,18301,301
Texas,51080,1405
Utah,7530,88
Vermont,944,54
Virgin Islands,69,6
Virginia,32145,1041
Washington,20063,1042
West Virginia,1514,68
Wisconsin,13001,467
Wyoming,776,10
